artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
Sir Samuel,109,2.3433016055574885,0.7822132926376326,16,0.27522935779816515,5,"16,0,17","0.275,0.165,0.119",0.5931192660520803,generalist
Kalif Hardcore,109,2.184933280516335,0.7293486470085114,0,0.41284403669724773,6,"0,19,11","0.413,0.092,0.073",0.6188073394464475,moderate
Tiakola,109,2.3275758596277845,0.7769639096842462,0,0.30275229357798167,7,"0,17,19","0.303,0.128,0.101",0.6041284403639522,moderate
Liza Monet,108,2.1838912410066076,0.7290008056747158,16,0.2777777777777778,5,"16,0,1","0.278,0.250,0.083",0.6490740740708287,generalist
Cuizinier,108,2.302644013850374,0.7686414551052753,0,0.23148148148148148,7,"0,16,17","0.231,0.194,0.102",0.6166666666635835,generalist
Aketo,107,2.592952934679106,0.8655489536129185,0,0.1588785046728972,6,"0,16,1","0.159,0.140,0.131",0.49205607476389485,generalist
Gringe,107,2.6243574166354806,0.876032027228545,16,0.18691588785046728,7,"16,0,4","0.187,0.150,0.093",0.4705607476611986,generalist
L’Animalerie,106,2.6695538917830173,0.8911189812753155,0,0.16037735849056603,9,"0,17,11","0.160,0.094,0.094",0.434905660375184,generalist
Benjamin Epps,106,2.609319022367759,0.8710120878966897,0,0.2169811320754717,5,"0,16,1","0.217,0.132,0.104",0.46132075471467454,generalist
AM La Scampia,105,2.225467172497119,0.7428791925577959,0,0.3523809523809524,4,"0,1,19","0.352,0.133,0.095",0.624285714282593,moderate
Luni Sacks,105,2.4238672140940727,0.8091067534611545,0,0.2571428571428571,6,"0,16,1","0.257,0.152,0.095",0.5671428571400214,generalist
Tout Simplement Noir,104,2.7794553711602177,0.9278049963599742,18,0.10576923076923077,10,"18,0,3","0.106,0.096,0.087",0.34903846153671636,generalist
Moubarak,103,2.2738778369493278,0.7590390693530533,0,0.3592233009708738,4,"0,16,4","0.359,0.117,0.107",0.5995145631037988,moderate
BFG,102,2.5760449503505973,0.8599049297868341,0,0.24509803921568626,7,"0,17,8","0.245,0.098,0.088",0.47058823529176486,generalist
Kroc Blanc,102,2.1911234520785023,0.731414977039674,16,0.3235294117647059,4,"16,17,0","0.324,0.235,0.059",0.632352941173309,moderate
Lesram,101,2.418862777488711,0.8074362314824248,0,0.24752475247524752,8,"0,1,8","0.248,0.119,0.109",0.5628712871258985,generalist
